kgrid,pseudo,type,nbnd,rpa
4,ccecp,NC,500,-0.44104977630832853
4,uspp,US,500,-0.4319401993043127
4,paw,PAW,500,-0.4342493475763822
4,jth_with_d_v2,PAW+d,500,-0.4405040113383646
5,oncv,NC,50,-0.38631611734589943
5,oncv,NC,100,-0.42143555513479725
5,oncv,NC,150,-0.4334934001788448
5,oncv,NC,250,-0.4427747380611745
5,oncv,NC,500,-0.44915780967626834
5,ccecp,NC,50,-0.3821472688680379
5,ccecp,NC,100,-0.4174448319355879
5,ccecp,NC,150,-0.42889157377299136
5,ccecp,NC,250,-0.4379451180312589
5,ccecp,NC,500,-0.44421129638788237
5,uspp,US,50,-0.37146323190767133
5,uspp,US,100,-0.40678217415394624
5,uspp,US,150,-0.41884176018959657
5,uspp,US,250,-0.42835745583120727
5,uspp,US,500,-0.4350110999716771
5,paw,PAW,50,-0.37293014345904585
5,paw,PAW,100,-0.4092542235497068
5,paw,PAW,150,-0.4215208096548068
5,paw,PAW,250,-0.4309755145802684
5,paw,PAW,500,-0.4374275826422401
5,jth_with_d_v2,PAW+d,50,-0.3777312710558817
5,jth_with_d_v2,PAW+d,100,-0.4136469746083906
5,jth_with_d_v2,PAW+d,150,-0.42573115012636814
5,jth_with_d_v2,PAW+d,250,-0.4352482010942523
5,jth_with_d_v2,PAW+d,500,-0.44443194349708265
6,oncv,NC,50,-0.38824446029335863
6,oncv,NC,100,-0.4230013432128118
6,oncv,NC,150,-0.43513316876843183
6,oncv,NC,250,-0.4443677226390882
6,oncv,NC,500,-0.4507567150472078
6,ccecp,NC,50,-0.3841296631781009
6,ccecp,NC,100,-0.4190706459253864
6,ccecp,NC,150,-0.43059765933908656
6,ccecp,NC,250,-0.43959722390522404
6,ccecp,NC,500,-0.44586393113923156
6,uspp,US,50,-0.37334577046655015
6,uspp,US,100,-0.40836650630860155
6,uspp,US,150,-0.42046252676049967
6,uspp,US,250,-0.42995053953121914
6,uspp,US,500,-0.4366091547137362
6,paw,PAW,50,-0.374876535387569
6,paw,PAW,100,-0.4109115548262356
6,paw,PAW,150,-0.42320663528760316
6,paw,PAW,250,-0.43263107796549494
6,paw,PAW,500,-0.43909383374373184
6,jth_with_d_v2,PAW+d,50,-0.37927788742496127
6,jth_with_d_v2,PAW+d,100,-0.4149158522810729
6,jth_with_d_v2,PAW+d,150,-0.4270127427700849
6,jth_with_d_v2,PAW+d,250,-0.43652281914955243
6,jth_with_d_v2,PAW+d,500,-0.44601637844538256
